,year,org_id,loan_amt,entity_structure,structure_edit,total_proj_cost,loan_pct,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_2,activity_3,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt,
0,2018,448,2892723,,,14500000,0.2,OTHER,The Food Trust,2014,Acquisition and predevelopment of vacant site for supermarket; co-locating with health center,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,42.086,-71.024,,,,MA,,,,"139 Pleasant St,Brockton,MA,02301","139, Pleasant Street, Montello, Brockton, Plymouth County, Massachusetts, 02301, United States of America","(42.086082909090905, -71.0239490909091, 0.0)",42.08608291,-71.02394909,0,FALSE
1,2018,448,3300000,,,6050000,0.55,OTHER,The Food Trust,2013,Acquisition and predevelopment of vacant site for supermarket; co-locating with health center,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,42.086,-71.024,,,,MA,,,,"139 Pleasant St,Brockton,MA,02301","139, Pleasant Street, Montello, Brockton, Plymouth County, Massachusetts, 02301, United States of America","(42.086082909090905, -71.0239490909091, 0.0)",42.08608291,-71.02394909,0,
2,2018,448,3000000,,,22400000,0.13,ERS,,2016,Renovated building houses Fresh Grocer brand grocery store in LMI community.,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,40.003,-75.215,,,,PA,,,,"4105 Monument Rd,Philadelphia,PA,19131","4105, Monument Road, Pencoyd, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States of America","(40.00174615151515, -75.21529207575757, 0.0)",40.00174615,-75.21529208,0,
3,2018,448,750000,,,750000,1,OTHER,The Food Trust,2014,Acquisition and build-out of commercial training kitchen space for formerly incarcerated individuals,NONRETAIL,PRODUCTION,Production,Production and Distribution,,42.332,-71.082,,,,MA,,,,"2117 Washington St,Boston,MA,02119","2117, Washington Street, Roxbury Crossing, South End, Boston, Suffolk County, Massachusetts, 02119, United States of America","(42.33191704347826, -71.08190847826087, 0.0)",42.33191704,-71.08190848,0,
4,2018,502,54000,FORPROFIT,Forprofit,81000,0.67,OTHER,CIMS/ERS (<120% adj.,2017,Grocery Store,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,40.03579771,-76.31409186,252 S 4th St,,Reading,PA,19602,,42011002500,"252 S 4th St,Reading,PA,19602","252, South 4th Street, Reading, Berks County, Pennsylvania, 19602, United States of America","(40.33143120408163, -75.93009128571428, 0.0)",40.3314312,-75.93009129,0,
5,2018,502,34496,FORPROFIT,Forprofit,46746,0.74,ERS,,2017,Grocery Store,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,40.33082817,-75.92998954,474 Manor St,,Lancaster,PA,17603,,42071001000,"474 Manor St,Lancaster,PA,17603","474, Manor Street, Lancaster, Lancaster County, Pennsylvania, 17603, United States of America","(40.035887448979594, -76.31391018367347, 0.0)",40.03588745,-76.31391018,0,
6,2018,502,40000,FORPROFIT,Forprofit,40000,1,ERS,,2017,Butcher Shop,RETAIL,OTHER,Sale,Restaurant and Specialty Sales,Butcher Shop,40.04336918,-76.30668023,325 N Queen St,,Lancaster,PA,17603,,42071000400,"325 N Queen St,Lancaster,PA,17603","325, North Queen Street, Lancaster, Lancaster County, Pennsylvania, 17603, United States of America","(40.04316416326531, -76.30656797959183, 0.0)",40.04316416,-76.30656798,0,
7,2018,502,170800,FORPROFIT,Forprofit,170800,1,OTHER,CIMS/ERS (<120% Tra,2017,Grocery Store,RETAIL,GROCERYSTORE,Grocery Store,Grocery Store,,40.02921554,-76.29381962,920 S Duke St,,Lancaster,PA,17602,,42071014700,"920 S Duke St,Lancaster,PA,17602","920, South Duke Street, Sunnyside, Lancaster, Lancaster County, Pennsylvania, 17602, United States of America","(40.02955995303014, -76.29439326508438, 0.0)",40.02955995,-76.29439327,0,
8,2018,1583,400000,NONPROFIT,Nonprofit,1133506,0.35,ERS,,2017,"The site is located in a USDA-designated Food Desert. The new facility will house a grocery store with fresh produce, meats, a Federally Qualified Health Center and community room for job training, health and wellness education, and other needs.",RETAIL,CORNERSTORE,Corner Store,Corner store,,26.60088701,-80.05244425,1361 Florida Avenue NE,,Palm Bay,FL,32905,,12009065123,"1361 Florida Avenue NE,Palm Bay,FL,32905",,,28.056503,-80.59912,,
9,2018,1583,300000,NONPROFIT,Nonprofit,300000,1,ERS,,2017,"The site is located in a USDA-designated Food Desert. The new facility will house a grocery store with fresh produce, meats, a Federally Qualified Health Center and community room for job training, health and wellness education, and other needs.",RETAIL,CORNERSTORE,Corner Store,Corner store,,27.88880228,-82.7193068,1361 Florida Avenue NE,,Palm Bay,FL,32905,,12009065123,"1361 Florida Avenue NE,Palm Bay,FL,32905",,,28.056503,-80.59912,,
