,CityName,DataSource,Data_Value,Data_Value_Type,Data_Value_Unit,GeographicLevel,Measure,MeasureId,PopulationCount,StateAbbr,TractFIPS,Year
7,Chicago,BRFSS,9.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4567,IL,17031151002,2017
32,Naperville,BRFSS,7.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,363,IL,17197880310,2017
35,Chicago,BRFSS,19.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1930,IL,17031691500,2017
37,Chicago,BRFSS,15.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3078,IL,17031431200,2017
44,Chicago,BRFSS,10.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2338,IL,17031840200,2017
74,Naperville,BRFSS,8.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3256,IL,17043846208,2017
75,Chicago,BRFSS,17.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3614,IL,17031730600,2017
145,Elgin,BRFSS,7.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3524,IL,17031804311,2017
157,Chicago,BRFSS,22.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1677,IL,17031835500,2017
191,Chicago,BRFSS,5.4,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1652,IL,17031071700,2017
219,Chicago,BRFSS,3.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,3102,IL,17031081700,2017
258,Decatur,BRFSS,17.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4296,IL,17115002000,2017
271,Chicago,BRFSS,2.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2569,IL,17031062000,2017
283,Chicago,BRFSS,4.0,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4350,IL,17031839100,2017
288,Chicago,BRFSS,2.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2518,IL,17031320400,2017
304,Chicago,BRFSS,5.8,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2204,IL,17031243000,2017
311,Decatur,BRFSS,11.3,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2088,IL,17115002601,2017
347,Chicago,BRFSS,4.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1950,IL,17031040900,2017
374,Chicago,BRFSS,16.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,752,IL,17031380500,2017
404,Chicago,BRFSS,10.7,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2047,IL,17031241000,2017
438,Chicago,BRFSS,16.2,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1934,IL,17031260500,2017
439,Chicago,BRFSS,11.9,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4301,IL,17031520500,2017
466,Chicago,BRFSS,12.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,5067,IL,17031580501,2017
480,Chicago,BRFSS,18.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,2654,IL,17031711400,2017
484,Joliet,BRFSS,11.6,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,1925,IL,17197882200,2017
512,Chicago,BRFSS,3.5,Crude prevalence,%,Census Tract,Diagnosed diabetes among adults aged >=18 Years,DIABETES,4315,IL,17031080300,2017
