,CityName,DataSource,Data_Value,Data_Value_Type,Data_Value_Unit,GeographicLevel,Measure,MeasureId,PopulationCount,StateAbbr,TractFIPS,Year
8,Chicago,BRFSS,39.8,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1295,IL,17031381900,2017
10,Palatine,BRFSS,30.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,6112,IL,17031803611,2017
53,Chicago,BRFSS,22.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3590,IL,17031242200,2017
69,Chicago,BRFSS,19.7,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2338,IL,17031840200,2017
70,Chicago,BRFSS,33.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5458,IL,17031190402,2017
71,Chicago,BRFSS,45.7,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1527,IL,17031271400,2017
86,Chicago,BRFSS,45.6,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2495,IL,17031671600,2017
123,Chicago,BRFSS,25.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,4639,IL,17031110501,2017
140,Chicago,BRFSS,34.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1055,IL,17031291600,2017
161,Chicago,BRFSS,34.3,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5123,IL,17031310900,2017
185,Chicago,BRFSS,20.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2717,IL,17031831900,2017
207,Chicago,BRFSS,40.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2922,IL,17031611100,2017
221,Cicero,BRFSS,36.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,7551,IL,17031813400,2017
248,Chicago,BRFSS,19.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1379,IL,17031061100,2017
280,Decatur,BRFSS,30.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,276,IL,17115002901,2017
325,Chicago,BRFSS,23.3,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2984,IL,17031070400,2017
333,Chicago,BRFSS,26.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3985,IL,17031040100,2017
349,Chicago,BRFSS,40.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2986,IL,17031510200,2017
395,Chicago,BRFSS,42.5,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5402,IL,17031530501,2017
408,Chicago,BRFSS,40.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5789,IL,17031460500,2017
473,Chicago,BRFSS,33.3,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3156,IL,17031640700,2017
481,Chicago,BRFSS,35.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2544,IL,17031520600,2017
488,Chicago,BRFSS,45.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1441,IL,17031420100,2017
555,Peoria,BRFSS,33.8,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5307,IL,17143003101,2017
561,Chicago,BRFSS,28.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3870,IL,17031170400,2017
643,Chicago,BRFSS,31.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5221,IL,17031020901,2017
648,Chicago,BRFSS,35.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5349,IL,17031580502,2017
667,Chicago,BRFSS,33.8,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,4354,IL,17031031502,2017
669,Chicago,BRFSS,46.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2962,IL,17031841500,2017
680,Joliet,BRFSS,32.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3727,IL,17197881108,2017
686,Chicago,BRFSS,28.7,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3884,IL,17031151200,2017
704,Chicago,BRFSS,21.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1317,IL,17031240300,2017
724,Chicago,BRFSS,40.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2177,IL,17031836000,2017
744,Chicago,BRFSS,31.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,7538,IL,17031250500,2017
783,Chicago,BRFSS,33.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3564,IL,17031590600,2017
806,Chicago,BRFSS,33.5,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2609,IL,17031230400,2017
817,Chicago,BRFSS,40.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,6570,IL,17031834300,2017
837,Chicago,BRFSS,46.1,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3247,IL,17031681400,2017
838,Chicago,BRFSS,32.0,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3187,IL,17031560300,2017
839,Chicago,BRFSS,32.9,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1288,IL,17031836300,2017
844,Chicago,BRFSS,38.5,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,1156,IL,17031630100,2017
862,Chicago,BRFSS,31.8,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,7270,IL,17031831600,2017
876,Chicago,BRFSS,21.4,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2724,IL,17031062700,2017
897,Naperville,BRFSS,28.9,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,5832,IL,17043846201,2017
926,Chicago,BRFSS,26.2,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,3048,IL,17031740100,2017
964,Chicago,BRFSS,24.8,Crude prevalence,%,Census Tract,Obesity among adults aged >=18 Years,OBESITY,2365,IL,17031050300,2017
