,CityName,DataSource,Data_Value,Data_Value_Type,Data_Value_Unit,GeographicLevel,Measure,MeasureId,PopulationCount,StateAbbr,TractFIPS,Year
0,Chicago,BRFSS,31.6,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,1545,IL,17031612000,2016
3,Joliet,BRFSS,21.0,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,3301,IL,17197881603,2016
5,Joliet,BRFSS,21.4,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2633,IL,17197882801,2016
9,Chicago,BRFSS,10.1,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,5064,IL,17031130300,2016
11,Chicago,BRFSS,32.9,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2716,IL,17031681200,2016
26,Chicago,BRFSS,4.9,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,1289,IL,17031050800,2016
52,Chicago,BRFSS,26.4,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,3233,IL,17031838800,2016
73,Chicago,BRFSS,12.8,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,4326,IL,17031839700,2016
88,Chicago,BRFSS,18.3,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2979,IL,17031836400,2016
93,Elgin,BRFSS,20.4,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,1254,IL,17089851500,2016
104,Chicago,BRFSS,31.0,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2892,IL,17031430400,2016
112,Cicero,BRFSS,20.5,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,3934,IL,17031813302,2016
126,Chicago,BRFSS,9.3,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,4750,IL,17031020301,2016
127,Chicago,BRFSS,34.1,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,5731,IL,17031251900,2016
135,Chicago,BRFSS,9.4,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2829,IL,17031221500,2016
166,Chicago,BRFSS,8.4,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2603,IL,17031842200,2016
172,Chicago,BRFSS,12.1,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2095,IL,17031030603,2016
257,Peoria,BRFSS,20.3,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,3840,IL,17143002701,2016
285,Chicago,BRFSS,4.9,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,1950,IL,17031040900,2016
295,Chicago,BRFSS,19.7,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,7414,IL,17031191100,2016
306,Chicago,BRFSS,21.1,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,3212,IL,17031300600,2016
316,Chicago,BRFSS,42.2,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,1481,IL,17031680500,2016
354,Chicago,BRFSS,10.6,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,4565,IL,17031242000,2016
355,Joliet,BRFSS,25.8,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,2929,IL,17197882100,2016
358,Chicago,BRFSS,8.6,Crude prevalence,%,Census Tract,All teeth lost among adults aged >=65 Years,TEETHLOST,4016,IL,17031720200,2016
