,year,org_id,loan_amt,entity_structure,total_proj_cost,food_desert,food_desert_2,hffi_year,proj_desc,bus_type,activity,activity_other,latitude,longitude,street,address_2,city,state,zipcode,zipcode_4,fips,address,location,point,lat,long,alt
0,2018,448,2892723.0,,14500000.0,OTHER,The Food Trust,2014.0,Acquisition and predevelopment of vacant site for supermarket; co-locating with health center,RETAIL,GROCERYSTORE,,42.086000000000006,-71.024,,,,,,,,"139 Pleasant St, Brockton, MA, 02301","139, Pleasant Street, Montello, Brockton, Plymouth County, Massachusetts, 02301, United States of America","(42.086082909090905, -71.0239490909091, 0.0)",42.086082909090905,-71.0239490909091,0.0
1,2018,448,3300000.0,,6050000.0,OTHER,The Food Trust,2013.0,Acquisition and predevelopment of vacant site for supermarket; co-locating with health center,RETAIL,GROCERYSTORE,,42.086000000000006,-71.024,,,,,,,,"139 Pleasant St, Brockton, MA, 02301","139, Pleasant Street, Montello, Brockton, Plymouth County, Massachusetts, 02301, United States of America","(42.086082909090905, -71.0239490909091, 0.0)",42.086082909090905,-71.0239490909091,0.0
2,2018,448,3000000.0,,22400000.0,ERS,,2016.0,Renovated building houses Fresh Grocer brand grocery store in LMI community.,RETAIL,GROCERYSTORE,,40.003,-75.215,,,,,,,,"4105 Monument Rd, Philadelphia, PA, 19131","4105, Monument Road, Pencoyd, Philadelphia, Philadelphia County, Pennsylvania, 19131, United States of America","(40.00174615151515, -75.21529207575757, 0.0)",40.00174615151515,-75.21529207575757,0.0
3,2018,448,750000.0,,750000.0,OTHER,The Food Trust,2014.0,Acquisition and build-out of commercial training kitchen space for formerly incarcerated individuals,NONRETAIL,PRODUCTION,,42.332,-71.082,,,,,,,,"2117 Washington St, Boston, MA, 02119","2117, Washington Street, Roxbury Crossing, South End, Boston, Suffolk County, Massachusetts, 02119, United States of America","(42.33191704347826, -71.08190847826087, 0.0)",42.33191704347826,-71.08190847826087,0.0
4,2018,502,54000.0,FORPROFIT,81000.0,OTHER,CIMS/ERS (<120% adj.,2017.0,Grocery Store,RETAIL,GROCERYSTORE,,40.03579771,-76.31409186,252 S 4th St,,Reading,PA,19602.0,,42011002500.0,"252 S 4th St,Reading,PA,19602","252, South 4th Street, Reading, Berks County, Pennsylvania, 19602, United States of America","(40.33143120408163, -75.93009128571428, 0.0)",40.33143120408163,-75.93009128571428,0.0
5,2018,502,34496.0,FORPROFIT,46746.0,ERS,,2017.0,Grocery Store,RETAIL,GROCERYSTORE,,40.33082817,-75.92998954,474 Manor St,,Lancaster,PA,17603.0,,42071001000.0,"474 Manor St,Lancaster,PA,17603","474, Manor Street, Lancaster, Lancaster County, Pennsylvania, 17603, United States of America","(40.035887448979594, -76.31391018367347, 0.0)",40.035887448979594,-76.31391018367347,0.0
6,2018,502,40000.0,FORPROFIT,40000.0,ERS,,2017.0,Butcher Shop,RETAIL,OTHER,Butcher Shop,40.04336918,-76.30668023,325 N Queen St,,Lancaster,PA,17603.0,,42071000400.0,"325 N Queen St,Lancaster,PA,17603","325, North Queen Street, Lancaster, Lancaster County, Pennsylvania, 17603, United States of America","(40.04316416326531, -76.30656797959183, 0.0)",40.04316416326531,-76.30656797959183,0.0
7,2018,502,170800.0,FORPROFIT,170800.0,OTHER,CIMS/ERS (<120% Tra,2017.0,Grocery Store,RETAIL,GROCERYSTORE,,40.02921554,-76.29381962,920 S Duke St,,Lancaster,PA,17602.0,,42071014700.0,"920 S Duke St,Lancaster,PA,17602","920, South Duke Street, Sunnyside, Lancaster, Lancaster County, Pennsylvania, 17602, United States of America","(40.02955995303014, -76.29439326508438, 0.0)",40.02955995303014,-76.29439326508438,0.0
10,2018,1583,100000.0,NONPROFIT,300000.0,ERS,,2017.0,"Recent studies showed median household income of $32,699. The redevelopment plan includes new housing, and as a USDA Food Desert, a grocery store is vital and will be the anchor of the CRA redevelopment project.",RETAIL,GROCERYSTORE,,28.292544,-81.40990078,5800 Main Street,,New Port Richey,FL,34652.0,,12101031401.0,"5800 Main Street,New Port Richey,FL,34652","5800, Main Street, New Port Richey, Pasco County, Florida, 34652, United States of America","(28.25014373348202, -82.71875694591706, 0.0)",28.25014373348202,-82.71875694591706,0.0
11,2018,1583,100000.0,NONPROFIT,100000.0,ERS,,2017.0,"Recent studies showed median household income of $32,699. The redevelopment plan includes new housing, and as a USDA Food Desert, a grocery store is vital and will be the anchor of the CRA redevelopment project.",RETAIL,GROCERYSTORE,,28.26180882,-81.23312463,5800 Main Street,,New Port Richey,FL,34652.0,,12101031401.0,"5800 Main Street,New Port Richey,FL,34652","5800, Main Street, New Port Richey, Pasco County, Florida, 34652, United States of America","(28.25014373348202, -82.71875694591706, 0.0)",28.25014373348202,-82.71875694591706,0.0
12,2018,1583,400000.0,NONPROFIT,781000.0,ERS,,2017.0,"Fresh Choice Market Place�is the sole full-service grocery store for approximately 23,000 residents of Fort Meade. The city of Fort Meade, in rural Polk County Florida, has been designated as a Food Desert by the USDA.",RETAIL,GROCERYSTORE,,27.74808162,-81.80154162,201 S. Charleston Avenue,,Ft. Meade,FL,33841.0,,12105016002.0,"201 S. Charleston Avenue,Ft. Meade,FL,33841","Charleston Avenue, Fort Meade, Polk County, Florida, 33841, United States of America","(27.7513553, -81.8014232, 0.0)",27.7513553,-81.8014232,0.0
13,2018,1583,300000.0,NONPROFIT,300000.0,ERS,,2017.0,"Fresh Choice Market Place�is the sole full-service grocery store for approximately 23,000 residents of Fort Meade. The city of Fort Meade, in rural Polk County Florida, has been designated as a Food Desert by the USDA.",RETAIL,GROCERYSTORE,,27.748997999999997,-81.80144195,201 S. Charleston Avenue,,Ft. Meade,FL,33841.0,,12105016002.0,"201 S. Charleston Avenue,Ft. Meade,FL,33841","Charleston Avenue, Fort Meade, Polk County, Florida, 33841, United States of America","(27.7513553, -81.8014232, 0.0)",27.7513553,-81.8014232,0.0
15,2018,2131,3000000.0,FORPROFIT,3477000.0,ERS,,2016.0,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,,37.45932071,-122.4331797,3103 Myrtle Street,,Oakland,CA,94608.0,,6001401500.0,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.821598267581834,-122.27736928475657,0.0
16,2018,2131,267126.0,FORPROFIT,1985000.0,ERS,,2016.0,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,,37.942505,-122.4910369,3103 Myrtle Street,,Oakland,CA,94608.0,,6001401500.0,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.821598267581834,-122.27736928475657,0.0
17,2018,2131,477000.0,FORPROFIT,3477000.0,ERS,,2017.0,Grocery store. Census tract is located directly next to a USDA-designed Low-Income/Low Access census tract with a 52.47% Median Family Income.,RETAIL,GROCERYSTORE,,37.82192995,-122.27711380000001,3103 Myrtle Street,,Oakland,CA,94608.0,,6001401500.0,"3103 Myrtle Street,Oakland,CA,94608","3103, Myrtle Street, Hoover-Foster, Oakland, Alameda County, California, 94608, United States of America","(37.821598267581834, -122.27736928475657, 0.0)",37.821598267581834,-122.27736928475657,0.0
18,2018,2131,374889.0,NONPROFIT,3316534.0,ERS,,2017.0,"Community wellness hub with a produce stand, commercial kitchen, distribution center, & offices. Census tract directly adjacent to a USDA-designated LSA census tract with a Median Family Income of 56.44%",RETAIL,GROCERYSTORE,,37.82192995,-122.27711380000001,6569 S Vermont Ave,,Los Angeles,CA,90044.0,,6037237401.0,"6569 S Vermont Ave,Los Angeles,CA,90044","South Vermont Avenue, Westmont, Los Angeles, Los Angeles County, California, 90044, United States of America","(33.9589663, -118.2917915, 0.0)",33.9589663,-118.2917915,0.0
22,2018,1985,1000000.0,FORPROFIT,1000000.0,ERS,,2016.0,Grocery store located in food dessert owned by employee co-op,RETAIL,GROCERYSTORE,,39.78443831,-104.80959200000001,4810 Chambers Road,,Denver,CO,80239.0,,8031008388.0,"4810 Chambers Road,Denver,CO,80239","4810, Chambers Road, Denver, Denver County, Colorado, 80239, United States of America","(39.784212249999996, -104.8078060845308, 0.0)",39.784212249999996,-104.8078060845308,0.0
